order_id,customer_id,product_category,product_name,quantity,unit_price,order_date,region,payment_method
144,4609,Home & Garden,Toaster,4,255.94,2024-03-25,Asia,Debit Card
145,2012,Sports,Bicycle,3,448.55,2023-10-09,Africa,Credit Card
146,3169,Clothing,Shorts,4,26.89,2023-06-11,North America,Apple Pay
147,5714,Beauty,Lipstick,1,141.03,2024-09-24,Oceania,Apple Pay
148,5524,Beauty,Shampoo,2,42.62,2023-06-16,Oceania,Credit Card
149,7977,Electronics,Smart Watch,2,471.21,2023-07-13,South America,Debit Card
150,6988,Food,Coffee Beans,2,24.03,2023-12-19,North America,Debit Card
151,4481,Electronics,Tablet,2,1549.62,2023-06-21,Asia,Google Pay
152,9406,Books,Science Fiction,3,11.21,2023-09-30,North America,Credit Card
153,6872,Clothing,T-Shirt,2,230.3,2023-11-04,Europe,Credit Card
154,2050,Clothing,Dress,2,223.65,2023-05-11,North America,Apple Pay
155,5807,Electronics,Camera,1,771.56,2023-07-21,Oceania,PayPal
156,6828,Electronics,Camera,2,1573.22,2023-09-20,Africa,Google Pay
157,4659,Beauty,Face Mask,2,83.78,2023-03-19,South America,Google Pay
158,8769,Clothing,Shorts,2,86.74,2024-04-25,South America,Google Pay
159,3733,Sports,Basketball,3,166.17,2024-08-05,Europe,Debit Card
160,8836,Toys,Action Figure,5,44.16,2023-11-29,Asia,Debit Card
161,9598,Sports,Bicycle,4,64.77,2024-08-30,Oceania,Debit Card
162,2948,Toys,Puzzle,2,42.95,2023-12-05,Asia,Apple Pay
163,2449,Toys,Doll,1,45.46,2023-06-01,Oceania,PayPal
164,2924,Beauty,Nail Polish,1,107.37,2023-12-12,South America,PayPal
165,4778,Beauty,Lipstick,2,18.53,2024-07-18,Oceania,Google Pay
166,1870,Food,Spice Set,2,12.06,2023-09-24,Asia,Apple Pay
167,1925,Sports,Tennis Racket,3,182.75,2024-01-18,North America,PayPal
168,3636,Toys,Puzzle,2,13.15,2024-02-16,Africa,Apple Pay
169,6854,Clothing,Sweater,2,156.0,2024-08-31,Africa,Apple Pay
170,1194,Home & Garden,Curtains,1,37.03,2024-06-20,Oceania,Google Pay
171,5167,Electronics,Laptop,5,270.89,2024-08-03,North America,Debit Card
172,6915,Food,Green Tea,2,30.37,2023-11-29,Europe,PayPal
173,5352,Books,Novel,3,44.89,2024-05-11,North America,Google Pay
174,4557,Food,Granola,1,65.65,2024-09-25,South America,Google Pay
175,6693,Books,Poetry,5,43.44,2024-06-02,South America,Debit Card
176,1513,Books,Science Fiction,4,41.57,2024-09-02,South America,PayPal
177,4934,Books,Novel,5,26.96,2023-05-13,Oceania,Google Pay
178,7829,Beauty,Lipstick,5,29.99,2024-04-22,Africa,Credit Card
179,8607,Food,Olive Oil,4,67.78,2023-06-16,Asia,Google Pay
180,5201,Food,Spice Set,2,11.66,2024-07-27,Oceania,Google Pay
181,5646,Beauty,Face Mask,2,91.34,2023-12-05,North America,Credit Card
182,9462,Electronics,Headphones,1,1780.51,2023-11-10,Oceania,Google Pay
183,1624,Toys,Educational Game,1,139.77,2023-11-18,South America,Apple Pay
184,8085,Food,Pasta,4,16.61,2023-06-28,Oceania,PayPal
185,9530,Sports,Running Shoes,2,156.11,2023-01-12,South America,Debit Card
186,5687,Beauty,Body Lotion,2,138.61,2024-08-11,South America,PayPal
187,1919,Home & Garden,Vacuum Cleaner,3,398.57,2023-03-20,Europe,PayPal
188,3194,Toys,Puzzle,3,117.82,2023-09-22,South America,PayPal
189,5538,Electronics,Smart Watch,5,283.75,2024-01-01,North America,Debit Card
190,3343,Beauty,Shampoo,5,60.59,2024-06-13,Africa,Google Pay
191,4463,Beauty,Face Mask,3,171.36,2023-07-30,Africa,PayPal
192,8020,Toys,Doll,3,82.37,2024-01-25,Asia,Apple Pay
193,3397,Sports,Yoga Mat,1,407.77,2023-04-28,Oceania,Google Pay
194,8807,Food,Olive Oil,5,41.68,2024-03-09,Asia,Debit Card
195,4552,Sports,Dumbbell Set,3,351.47,2024-06-04,Europe,PayPal
196,7773,Home & Garden,Blender,1,194.64,2023-12-14,Europe,Apple Pay
197,1706,Home & Garden,Air Purifier,3,357.6,2024-09-14,Africa,PayPal
198,4008,Home & Garden,Curtains,1,39.42,2023-08-05,Africa,Apple Pay
199,9448,Food,Organic Honey,1,73.12,2023-08-01,Africa,Google Pay
200,3017,Beauty,Body Lotion,1,97.98,2023-07-14,North America,Apple Pay
201,2374,Toys,Plush Toy,5,55.83,2024-01-20,South America,PayPal
202,1803,Beauty,Nail Polish,4,65.3,2023-07-08,Africa,Apple Pay
203,6319,Electronics,Laptop,3,676.68,2024-05-22,Asia,PayPal
204,5715,Clothing,Coat,5,132.94,2024-05-06,South America,Credit Card
205,1416,Clothing,Jacket,5,136.61,2023-05-14,South America,Apple Pay
206,5715,Electronics,Wireless Mouse,5,1598.6,2024-06-10,Asia,Credit Card
207,3153,Sports,Gym Bag,4,251.53,2023-01-16,Europe,PayPal
208,2249,Clothing,T-Shirt,5,204.53,2023-05-18,Asia,Apple Pay
209,6613,Home & Garden,Toaster,1,210.28,2024-01-26,Europe,Google Pay
210,8414,Electronics,Smart Watch,5,108.39,2023-06-11,Europe,Google Pay
211,7472,Food,Organic Honey,3,42.8,2023-10-09,Asia,Debit Card
212,8381,Food,Dark Chocolate,2,51.41,2024-02-21,Oceania,Credit Card
213,2372,Beauty,Body Lotion,4,177.61,2023-12-23,Europe,Credit Card
214,1873,Books,History,4,16.49,2024-09-09,Oceania,Apple Pay
215,3896,Toys,Building Blocks,2,131.07,2023-07-16,Europe,Credit Card
216,1260,Electronics,Headphones,1,1555.08,2024-06-15,Europe,Debit Card
217,7275,Home & Garden,Coffee Maker,2,357.29,2024-03-05,Africa,Apple Pay
218,6092,Clothing,Jeans,4,231.35,2024-04-23,Africa,Google Pay
219,9026,Home & Garden,Blender,5,216.14,2023-08-27,Europe,PayPal
220,8686,Home & Garden,Curtains,2,215.62,2023-01-24,Oceania,Debit Card
221,2106,Food,Olive Oil,1,76.52,2023-01-30,Asia,Google Pay
222,9942,Home & Garden,Rug,4,148.03,2024-03-08,Africa,PayPal
223,5738,Food,Green Tea,3,9.54,2024-05-10,Oceania,PayPal
224,2236,Electronics,Laptop,1,1796.99,2023-07-12,Oceania,PayPal
225,3729,Beauty,Perfume,3,52.65,2024-09-05,Oceania,Apple Pay
226,4924,Toys,RC Car,4,98.87,2024-01-29,Africa,Google Pay
227,1667,Books,Poetry,3,23.55,2023-08-26,Europe,Apple Pay
228,4813,Home & Garden,Lamp,4,375.47,2023-03-07,North America,Debit Card
229,1818,Sports,Yoga Mat,4,441.98,2024-03-26,North America,Apple Pay
230,2390,Home & Garden,Air Purifier,1,111.54,2024-09-04,Europe,Google Pay
231,4315,Toys,Action Figure,4,14.56,2023-09-03,Europe,Apple Pay
232,4271,Electronics,Laptop,5,964.74,2024-02-14,Asia,Credit Card
233,2705,Clothing,Sweater,5,261.45,2024-08-03,Asia,Debit Card
234,8516,Electronics,Wireless Mouse,4,1582.44,2023-01-04,Africa,PayPal
235,6176,Clothing,Shorts,1,125.08,2023-02-05,Oceania,PayPal
236,4352,Sports,Running Shoes,3,101.8,2024-04-09,Asia,Google Pay
237,6729,Electronics,Tablet,4,1098.68,2024-05-09,Africa,Credit Card
238,7112,Toys,Building Blocks,1,70.68,2023-05-03,Oceania,Google Pay
239,6332,Electronics,Wireless Mouse,4,189.14,2023-09-11,Asia,Apple Pay
240,9942,Books,Mystery,4,23.96,2024-01-12,Europe,PayPal
241,1261,Food,Dark Chocolate,1,5.6,2023-11-22,Europe,Debit Card
242,2435,Sports,Dumbbell Set,3,466.11,2023-05-09,Asia,Credit Card
243,2528,Beauty,Body Lotion,3,188.23,2023-04-20,North America,Apple Pay
244,7886,Toys,RC Car,2,143.06,2024-03-19,North America,Credit Card
245,9171,Books,Science Fiction,5,18.96,2023-11-27,Oceania,Apple Pay
246,2153,Toys,RC Car,4,134.71,2024-04-10,Europe,Debit Card
247,1187,Toys,Puzzle,1,138.6,2024-03-03,South America,Debit Card
248,4227,Food,Organic Honey,4,63.95,2023-07-13,South America,Debit Card
249,1483,Home & Garden,Curtains,1,354.95,2023-08-17,North America,Credit Card
250,8204,Beauty,Face Mask,4,163.31,2023-09-17,Europe,Credit Card
251,1293,Clothing,Shorts,4,254.89,2024-04-06,Oceania,PayPal
252,2810,Sports,Basketball,1,121.71,2024-09-17,Asia,Apple Pay
253,9033,Clothing,Sneakers,1,131.69,2023-06-26,Oceania,Google Pay
254,2802,Food,Coffee Beans,3,74.15,2023-09-23,South America,Credit Card
255,5353,Food,Pasta,2,21.33,2024-09-01,Africa,Apple Pay
256,5992,Clothing,Dress,1,232.29,2024-02-23,Oceania,Debit Card
257,7524,Sports,Running Shoes,5,162.98,2023-08-23,Europe,Apple Pay
258,6900,Sports,Tennis Racket,5,159.79,2024-09-05,South America,Google Pay
259,1793,Beauty,Moisturizer,3,114.44,2023-08-21,Oceania,PayPal
260,1913,Sports,Basketball,3,200.83,2023-03-19,South America,Apple Pay
261,6357,Beauty,Moisturizer,5,150.15,2024-09-12,Asia,PayPal
262,5624,Toys,Building Blocks,5,91.48,2023-03-24,South America,Debit Card
263,4186,Clothing,Jeans,5,139.44,2024-01-27,Asia,Google Pay
264,2620,Sports,Swimming Goggles,1,478.76,2023-11-22,Oceania,Credit Card
265,9163,Books,Biography,5,39.98,2023-02-15,Europe,Credit Card
266,1426,Beauty,Perfume,4,15.52,2023-01-04,Asia,PayPal
267,5217,Clothing,Jacket,2,70.35,2024-03-19,Europe,Debit Card
268,5065,Electronics,Wireless Mouse,3,1997.81,2024-02-12,North America,Credit Card
269,7820,Food,Dark Chocolate,4,63.15,2024-04-15,Europe,Credit Card
270,3745,Books,Cookbook,1,43.06,2024-03-06,South America,Credit Card
271,3862,Beauty,Shampoo,2,172.14,2023-12-16,North America,Credit Card
272,7120,Beauty,Eye Cream,4,149.03,2023-06-03,Europe,Debit Card
273,5963,Food,Coffee Beans,1,56.63,2024-01-14,Oceania,Debit Card
274,2230,Toys,RC Car,5,18.07,2023-05-13,Oceania,Credit Card
275,3819,Electronics,Wireless Mouse,4,155.71,2023-11-16,Europe,Credit Card
276,9105,Clothing,T-Shirt,3,273.13,2023-01-08,Oceania,Credit Card
277,1409,Books,Mystery,3,11.66,2024-01-22,Asia,Google Pay
278,7638,Electronics,Smartphone,3,586.31,2023-08-07,Africa,Debit Card
279,1007,Beauty,Moisturizer,2,120.59,2023-08-16,North America,PayPal
280,9850,Food,Coffee Beans,1,42.27,2024-03-23,Asia,Apple Pay
281,1464,Home & Garden,Coffee Maker,4,86.1,2023-09-23,Africa,Google Pay
282,3371,Beauty,Lipstick,2,143.79,2023-06-05,South America,Apple Pay
283,8638,Toys,Educational Game,5,93.01,2024-01-07,Oceania,Debit Card
284,6137,Home & Garden,Coffee Maker,2,251.97,2023-09-19,Asia,Credit Card
285,5729,Toys,Plush Toy,4,81.6,2024-01-10,South America,PayPal
286,7600,Clothing,Shorts,2,122.53,2023-02-19,South America,Debit Card
287,1266,Electronics,Smartphone,3,1583.29,2023-07-05,South America,Credit Card
288,5097,Books,Mystery,2,33.58,2023-02-06,North America,Credit Card
289,6286,Food,Organic Honey,3,37.25,2023-11-23,Europe,Debit Card
290,2519,Books,Science Fiction,1,25.33,2023-03-01,Europe,PayPal
291,1386,Food,Dark Chocolate,4,10.51,2023-08-31,Oceania,Google Pay
292,6578,Books,Biography,5,25.07,2023-07-14,Africa,Credit Card
293,4312,Electronics,Laptop,2,337.54,2023-07-06,South America,Credit Card
294,9241,Books,Science Fiction,4,40.91,2024-04-08,North America,Credit Card
295,3651,Toys,Educational Game,2,148.67,2024-01-13,Oceania,Apple Pay
296,5112,Beauty,Moisturizer,2,181.84,2024-05-05,South America,Google Pay
297,5098,Food,Olive Oil,4,15.82,2024-07-22,South America,Apple Pay
298,5199,Beauty,Eye Cream,1,197.54,2023-06-18,South America,Apple Pay
299,8353,Beauty,Lipstick,3,183.35,2023-01-06,South America,Google Pay
300,1798,Home & Garden,Vacuum Cleaner,3,329.36,2023-08-05,Europe,PayPal
301,2651,Toys,Plush Toy,5,112.94,2023-12-22,Oceania,Apple Pay
302,1889,Toys,RC Car,5,110.77,2023-07-05,Africa,Debit Card
303,1496,Clothing,T-Shirt,5,284.43,2023-04-29,South America,Debit Card
304,6706,Electronics,Smartphone,2,1686.17,2024-04-20,Asia,Debit Card
305,1855,Beauty,Face Mask,5,26.23,2023-03-02,Europe,Google Pay
306,8654,Food,Organic Honey,3,62.39,2023-05-24,Africa,Debit Card
307,5554,Clothing,Coat,2,195.41,2024-08-02,South America,Apple Pay
308,5174,Toys,Educational Game,5,100.69,2024-03-20,North America,Credit Card
309,1451,Home & Garden,Coffee Maker,1,55.48,2023-01-27,South America,Apple Pay
310,1129,Food,Organic Honey,2,60.85,2024-07-13,Europe,Google Pay
311,6109,Electronics,Tablet,5,648.12,2023-06-12,Oceania,Credit Card
312,3639,Food,Spice Set,2,22.22,2024-02-02,South America,Debit Card
313,2433,Clothing,Sweater,2,106.36,2024-04-11,North America,Google Pay
314,4753,Toys,Educational Game,1,138.77,2023-04-30,Asia,Debit Card
315,5644,Toys,Doll,2,90.93,2023-01-16,Oceania,Apple Pay
316,9122,Beauty,Face Mask,2,182.99,2024-04-02,Asia,PayPal
317,3735,Electronics,Camera,1,785.08,2023-09-15,Africa,Apple Pay
318,3455,Sports,Tennis Racket,2,101.79,2023-10-15,Asia,PayPal
319,3678,Electronics,Camera,4,332.93,2023-05-03,North America,Google Pay
320,5999,Home & Garden,Lamp,1,286.32,2024-07-28,Europe,Debit Card
321,7732,Home & Garden,Lamp,2,172.91,2024-01-19,Oceania,Debit Card
322,2607,Sports,Gym Bag,3,406.82,2023-06-21,Oceania,Debit Card
323,2612,Clothing,Jacket,4,31.83,2023-11-17,Europe,Credit Card
324,6726,Sports,Gym Bag,3,244.7,2024-01-02,Oceania,Debit Card
325,5146,Books,History,5,33.33,2023-03-17,Africa,Google Pay
326,4971,Home & Garden,Coffee Maker,3,252.96,2023-03-06,Europe,PayPal
327,4910,Beauty,Nail Polish,4,177.62,2024-06-28,Oceania,Credit Card
328,1982,Food,Green Tea,4,58.02,2024-09-18,Asia,Debit Card
329,4034,Toys,Doll,4,95.86,2023-02-07,South America,Google Pay
330,4557,Home & Garden,Rug,4,52.91,2024-09-06,Africa,Apple Pay
331,1504,Home & Garden,Blender,2,82.48,2023-01-05,Oceania,Apple Pay
332,8514,Toys,Puzzle,4,32.88,2023-11-28,South America,Google Pay
333,8213,Home & Garden,Air Purifier,3,320.6,2024-07-05,Africa,Debit Card
334,9755,Beauty,Eye Cream,3,43.85,2023-11-13,Europe,PayPal
335,9061,Books,Self-Help,5,38.98,2023-08-01,North America,PayPal
336,7049,Beauty,Moisturizer,2,32.6,2023-05-17,Africa,PayPal
337,8153,Clothing,Sneakers,1,198.82,2023-06-13,North America,Apple Pay
338,8779,Beauty,Face Mask,4,67.68,2023-07-25,Asia,PayPal
339,2011,Home & Garden,Air Purifier,4,233.43,2023-06-14,North America,PayPal
340,6021,Food,Pasta,2,29.94,2024-07-13,Europe,Apple Pay
341,3436,Books,Science Fiction,4,11.36,2024-01-10,Oceania,PayPal
342,7165,Books,Self-Help,1,20.82,2024-08-07,Oceania,Debit Card
343,5784,Books,Novel,4,13.12,2023-08-23,Europe,Credit Card
344,3112,Beauty,Body Lotion,4,38.67,2023-11-15,South America,PayPal
345,5960,Food,Olive Oil,2,71.52,2023-06-09,Europe,Apple Pay
346,6421,Food,Olive Oil,3,49.11,2024-07-19,Europe,Credit Card
347,6873,Home & Garden,Lamp,5,331.04,2024-02-12,Asia,Google Pay
348,5462,Sports,Running Shoes,2,256.22,2023-04-07,Africa,Google Pay
349,6108,Home & Garden,Lamp,3,73.83,2023-06-30,South America,Apple Pay
350,5431,Clothing,Jeans,5,291.89,2024-02-17,Oceania,Debit Card
351,2932,Electronics,Laptop,1,1301.19,2024-07-05,Africa,Google Pay
352,9789,Toys,Plush Toy,4,54.39,2024-06-25,Asia,Debit Card
353,3648,Food,Green Tea,5,28.81,2023-06-19,Asia,PayPal
354,9052,Food,Organic Honey,2,63.56,2023-07-09,North America,Google Pay
355,6566,Sports,Swimming Goggles,5,285.44,2024-09-14,South America,Google Pay
356,2566,Clothing,Shorts,3,191.94,2023-11-28,Africa,Credit Card
357,4603,Food,Dark Chocolate,4,14.58,2023-06-06,Oceania,Google Pay
358,6870,Electronics,Wireless Mouse,3,806.45,2024-05-03,Europe,Debit Card
359,3201,Electronics,Smart Watch,2,855.77,2023-06-29,Oceania,Apple Pay
360,1417,Sports,Gym Bag,3,173.92,2023-05-14,Europe,Debit Card
361,3576,Food,Dark Chocolate,5,52.86,2023-08-29,Africa,Debit Card
